Player ▲,Nation,Pos,Squad,Comp,Age,Gls,Ast,Cluster,Cluster_Prob
Dani Gómez,es ESP,FW,Valencia,es La Liga,26,0.34,0.0,0,0.9999983584375025
Tidiam Gomis,fr FRA,"MF,FW",RB Leipzig,de Bundesliga,17,0.0,0.59,0,1.0
Peter González,do DOM,"MF,FW",Getafe,es La Liga,22,0.0,0.0,0,0.8037838393709811
Michael Gregoritsch,at AUT,FW,Freiburg,de Bundesliga,30,0.28,0.14,0,0.9899504898660682
Albert Grønbaek,dk DEN,"FW,MF",Southampton,eng Premier League,23,0.0,0.0,0,0.999991968563523
Sergi Guardiola,es ESP,FW,Rayo Vallecano,es La Liga,33,0.0,0.0,0,0.9999999999999645
Luis Guilherme,br BRA,"MF,FW",West Ham,eng Premier League,18,0.0,0.0,0,0.9999999999058797
Bahereba Guirassy,fr FRA,"FW,MF",Nantes,fr Ligue 1,17,0.51,0.0,0,0.999990508462708
Sébastien Haller,ci CIV,FW,Leganés,es La Liga,30,0.0,0.0,0,0.9996015890185505
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,eng Premier League,22,0.0,0.0,0,1.0
Abdou Harroui,nl NED,"MF,FW",Hellas Verona,it Serie A,26,0.2,0.39,0,0.9999999924555345
Hwang Hee-chan,kr KOR,"MF,FW",Wolves,eng Premier League,28,0.27,0.0,0,0.9993049680649629
George Hirst,sct SCO,FW,Ipswich Town,eng Premier League,25,0.41,0.14,0,0.9122672880524927
Ilyes Housni,fr FRA,"FW,MF",Le Havre,fr Ligue 1,19,0.0,0.0,0,0.9999913903121022
Stanis Idumbo,be BEL,"FW,MF",Sevilla,es La Liga,19,0.31,0.31,0,0.9991351048926701
Kelechi Iheanacho,ng NGA,FW,Sevilla,es La Liga,27,0.0,0.0,0,0.9999999263091821
Jonathan Ikone,fr FRA,"FW,MF",Fiorentina,it Serie A,26,0.0,0.0,0,0.9999999254000694
Jonathan Ikone,fr FRA,FW,Como,it Serie A,26,0.33,0.0,0,0.9930057595846877
George Ilenikhena,ng NGA,FW,Monaco,fr Ligue 1,17,0.38,0.25,0,0.9999997701427483
Samuel Iling-Junior,eng ENG,"FW,MF",Bologna,it Serie A,20,0.77,0.0,0,1.0
Danny Ings,eng ENG,"FW,MF",West Ham,eng Premier League,32,0.31,0.63,0,0.9999999999999734
Alessio Iovine,it ITA,"DF,FW",Como,it Serie A,33,0.0,0.0,0,0.9999999922775116
Daniel Jebbison,eng ENG,FW,Bournemouth,eng Premier League,20,0.77,0.0,0,1.0
Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,27,0.44,0.0,0,0.9894236266277495
Jota,pt POR,"FW,MF",Rennes,fr Ligue 1,25,0.27,0.0,0,0.9999989447158438
Luka Jović,rs SRB,"FW,MF",Milan,it Serie A,26,0.32,0.0,0,0.9998441666429708
Juanmi,es ESP,"FW,MF",Betis,es La Liga,31,0.0,0.0,0,0.9999999921050975
Juanmi,es ESP,"FW,MF",Getafe,es La Liga,31,0.0,0.0,0,0.9976597880107452
Issa Kaboré,bf BFA,"DF,FW",Werder Bremen,de Bundesliga,23,0.0,0.0,0,0.9999779497728255
